# tracer: function
#
# entries-in-buffer/entries-written: 739/739   #P:4
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [000] d.h1. 83409.287598: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.287598: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.287599: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.287601: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.287602: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.287603: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [002] d.h1. 83409.288386: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [002] d.h1. 83409.288389: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.288598: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.h1. 83409.288601: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.288611: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.288614: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.288616: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.288620: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.289596: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.289599: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.289607: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.h1. 83409.289611: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.290596: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.290598: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.h1. 83409.290599: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.290601: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.291615: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.291615: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.291618: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.291619: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [002] d.h1. 83409.292453: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [002] d.h1. 83409.292461: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.292598: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.292603: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.292610: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.h1. 83409.292613: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [002] d.h1. 83409.292643: irq_handler_entry: irq=2 name=IPI
