# tracer: nop
#
# entries-in-buffer/entries-written: 1338/1338   #P:2
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
     kworker/0:2-9200    [000] d.h1. 36819.211386: xhci_handle_event: EVENT: TRB 0000000061549020 status 'Success' len 0 slot 1 ep 1 type 'Transfer Event' flags e:C
     kworker/0:2-9200    [000] d.h1. 36819.211389: xhci_handle_transfer: CTRL: Buffer 0000000000000000 length 0 TD size 0 intr 0 type 'Status Stage' flags I:c:e:C
     kworker/0:2-9200    [000] d.h1. 36819.211391: xhci_inc_deq: CTRL 00000000b5ea8a38: enq 0x0000000061549030(0x0000000061549000) deq 0x0000000061549030(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:2-9200    [000] d.h1. 36819.211392: xhci_urb_giveback: 2-1 ep0out-control: urb 000000002be9702f pipe 2147484288 slot 1 length 8/8 sgs 0/0 stream 0 flags 00110200
     kworker/0:2-9200    [000] d.h1. 36819.211395: xhci_inc_deq: EVENT 0000000025a93397: enq 0x000000004fbf4000(0x000000004fbf4000) deq 0x000000004fbf4040(0x000000004fbf4000) segs 1 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] ..... 36819.211433: xhci_urb_enqueue: 2-1 ep0out-control: urb 000000002be9702f pipe 2147484160 slot 1 length 0/0 sgs 0/0 stream 0 flags 00000000
     kworker/0:0-3233    [000] d..1. 36819.211434: xhci_queue_trb: CTRL: bRequestType 00 bRequest 31 wValue 0028 wIndex 0000 wLength 0 length 8 TD size 0 intr 0 type 'Setup Stage' flags I:i:c
     kworker/0:0-3233    [000] d..1. 36819.211434: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x0000000061549040(0x0000000061549000) deq 0x0000000061549030(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.211434: xhci_queue_trb: CTRL: Buffer 0000000000000000 length 0 TD size 0 intr 0 type 'Status Stage' flags I:c:e:C
     kworker/0:0-3233    [000] d..1. 36819.211434: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x0000000061549050(0x0000000061549000) deq 0x0000000061549030(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.211435: xhci_ring_ep_doorbell: Ring doorbell for Slot 1 ep0in
     kworker/0:2-9200    [000] d.h1. 36819.211458: xhci_handle_event: EVENT: TRB 0000000061549040 status 'Success' len 0 slot 1 ep 1 type 'Transfer Event' flags e:C
     kworker/0:2-9200    [000] d.h1. 36819.211458: xhci_handle_transfer: CTRL: Buffer 0000000000000000 length 0 TD size 0 intr 0 type 'Status Stage' flags I:c:e:C
     kworker/0:2-9200    [000] d.h1. 36819.211459: xhci_inc_deq: CTRL 00000000b5ea8a38: enq 0x0000000061549050(0x0000000061549000) deq 0x0000000061549050(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
